id,Co.name,typename,type,color,popCng,medHome,houseBuilt,miles,hhIncome,nhWhite,uninsured,someColl,health
1005,"Barbour Co., Ala.",African American South,3,457A59,-2576,89300,1980,1078,32490,45.95567867,12.51319664,36.77400805,25.77341563
1011,"Bullock Co., Ala.",African American South,3,457A59,-773,66800,1983,619,29113,21.30177515,13.20648344,33.62068966,29.40771388
1013,"Butler Co., Ala.",African American South,3,457A59,-1263,88800,1979,996,36842,51.59646911,10.66708425,38.44417077,26.5026132
1017,"Chambers Co., Ala.",African American South,3,457A59,-556,86400,1975,1107,36883,55.49787916,10.65698299,47.13993871,25.21983554
1023,"Choctaw Co., Ala.",African American South,3,457A59,-1017,69000,1982,846,36711,56.46195442,11.28327374,55.25179856,24.11128491
1025,"Clarke Co., Ala.",African American South,3,457A59,-1913,93500,1982,1167,36719,52.74675082,11.38065443,38.66786679,27.70052858
1035,"Conecuh Co., Ala.",African American South,3,457A59,-956,76100,1983,1007,30796,49.90777127,12.79908056,34.61387691,29.06951469
1037,"Coosa Co., Ala.",African American South,3,457A59,-1043,87300,1981,882,42442,65.77087595,13.34387544,44.96124031,23.98760761
1047,"Dallas Co., Ala.",African American South,3,457A59,-5508,80800,1974,1205,31329,27.32882825,10.37381451,49.19948074,28.70515353
1053,"Escambia Co., Ala.",African American South,3,457A59,-1572,94500,1985,1427,37870,60.0769087,13.18240436,38.29721041,24.45262368
1063,"Greene Co., Ala.",African American South,3,457A59,-810,67700,1979,645,28108,17.71908764,11.08774039,47.40740741,34.09874843
1087,"Macon Co., Ala.",African American South,3,457A59,-3009,77100,1977,869,30849,15.71314316,10.42271935,51.76409992,29.9782061
1091,"Marengo Co., Ala.",African American South,3,457A59,-1972,88100,1979,1016,37469,44.91354839,10.10029574,49.5269527,27.40450756
1097,"Mobile Co., Ala.",African American South,3,457A59,612,124500,1978,4110,45615,57.02672996,12.39202455,60.46022936,19.87617161
1099,"Monroe Co., Ala.",African American South,3,457A59,-2000,88000,1983,1157,36432,54.2551695,12.29986706,39.98710786,26.16900103
1105,"Perry Co., Ala.",African American South,3,457A59,-1439,69100,1974,859,26703,29.84259557,11.25107358,57.18309859,32.30499582
1107,"Pickens Co., Ala.",African American South,3,457A59,192,91800,1979,1160,38379,53.91058684,11.68857432,51.66287957,25.13970968
1109,"Pike Co., Ala.",African American South,3,457A59,443,109200,1986,1064,40680,55.96236511,12.81835242,59.46673503,22.21603018
1119,"Sumter Co., Ala.",African American South,3,457A59,-1072,69500,1981,979,26495,24.64727674,12.87718236,53.7563822,31.97898612
1131,"Wilcox Co., Ala.",African American South,3,457A59,-1040,81600,1984,851,25700,26.79354417,10.52691867,34.32098765,30.37122834
5003,"Ashley Co., Ark.",African American South,3,457A59,-1799,68200,1976,1273,40495,68.3035054,8.12873054,50.47577855,23.49308298
5011,"Bradley Co., Ark.",African American South,3,457A59,-608,74300,1977,748,35950,55.22827688,11.55077768,46.4849921,28.90434881
5013,"Calhoun Co., Ark.",African American South,3,457A59,-91,71000,1976,1100,42484,72.0792834,8.629572385,52.55147717,24.08956168
5017,"Chicot Co., Ark.",African American South,3,457A59,-1362,63000,1977,984,31810,39.58254983,9.471971972,42.17213115,28.83932592
5027,"Columbia Co., Ark.",African American South,3,457A59,-1015,76200,1977,1291,38488,59.31772972,8.950871981,54.99043977,24.28123597
5039,"Dallas Co., Ark.",African American South,3,457A59,-940,64500,1976,845,33739,52.82023536,8.061280321,51.33292003,23.83399439
5041,"Desha Co., Ark.",African American South,3,457A59,-1489,56700,1976,1147,33228,45.23121387,9.472359173,41.71494786,30.37802905
5043,"Drew Co., Ark.",African American South,3,457A59,-189,93200,1984,964,41339,66.33417803,9.366033611,57.68286696,24.45280368
5057,"Hempstead Co., Ark.",African American South,3,457A59,-852,76200,1978,1331,39505,54.91972005,10.89883247,48.68261046,28.08958607
5061,"Howard Co., Ark.",African American South,3,457A59,-434,94100,1979,953,36744,63.96349607,11.96101866,56.93037975,26.87604564
5069,"Jefferson Co., Ark.",African American South,3,457A59,-9342,81800,1976,1893,38677,38.80923099,7.497751799,49.13171407,26.54940972
5073,"Lafayette Co., Ark.",African American South,3,457A59,-961,65900,1975,792,33378,59.25386185,10.0967118,46.41873278,26.1091
5077,"Lee Co., Ark.",African American South,3,457A59,-1443,67100,1974,1079,28875,40.91107236,8.825549451,33.63914373,29.46092996
5079,"Lincoln Co., Ark.",African American South,3,457A59,-759,66100,1982,820,43821,64.28257365,10.60322218,28.90365449,24.27400867
5093,"Miss. Co., Ark.",African American South,3,457A59,-5241,81400,1975,1718,39678,58.0658934,8.558886031,48.24618232,26.94228756
5095,"Monroe Co., Ark.",African American South,3,457A59,-1255,54500,1976,731,32427,54.22724065,9.485442227,39.60535588,27.65086009
5099,"Nevada Co., Ark.",African American South,3,457A59,-694,62700,1975,850,46687,62.6396061,8.286281093,49.94138335,28.01644952
5103,"Ouachita Co., Ark.",African American South,3,457A59,-2522,67900,1973,1088,39576,55.4089157,7.254212377,53.89561271,23.37239268
5107,"Phillips Co., Ark.",African American South,3,457A59,-3726,67100,1972,1106,27663,34.38509584,8.291110088,47.60165571,30.69228885
5123,"St. Francis Co., Ark.",African American South,3,457A59,-2815,61900,1980,1206,31561,40.20053992,9.153368794,42.55429835,27.42269083
5139,"Union Co., Ark.",African American South,3,457A59,-2513,79900,1975,1680,43827,60.86339324,8.615715163,53.42848278,24.41602407
12007,"Bradford Co., Fla.",African American South,3,457A59,-788,90500,1983,449,44997,74.23995858,11.90842122,39.37508454,20.34880228
12013,"Calhoun Co., Fla.",African American South,3,457A59,-38,80000,1985,594,37612,77.07657253,14.32373817,42.6121372,24.14106394
12023,"Columbia Co., Fla.",African American South,3,457A59,2977,112500,1991,1542,42097,72.71878412,12.63409962,51.06319077,21.56562568
12037,"Franklin Co., Fla.",African American South,3,457A59,187,135300,1987,413,40158,78.61345613,15.24227902,37.59848724,18.90959834
12047,"Hamilton Co., Fla.",African American South,3,457A59,-489,73500,1990,665,35262,55.06909194,14.42753858,34.27295562,23.25813147
12075,"Levy Co., Fla.",African American South,3,457A59,-31,88700,1991,1340,37272,79.80919341,17.23931482,41.80091368,20.78907816
12077,"Liberty Co., Fla.",African American South,3,457A59,92,62400,1986,814,41308,72.17908275,14.52234207,32.56010122,22.23766939
12079,"Madison Co., Fla.",African American South,3,457A59,-701,87200,1983,879,37256,54.49617866,14.50934579,44.43483899,22.04314332
12107,"Putnam Co., Fla.",African American South,3,457A59,-205,82800,1982,1972,34390,71.44723946,16.45957075,40.01585833,24.60720119
12121,"Suwannee Co., Fla.",African American South,3,457A59,2636,92400,1991,1538,44144,75.39714868,17.48540779,38.90580493,23.48124179
12123,"Taylor Co., Fla.",African American South,3,457A59,-948,84900,1982,917,41557,72.63316997,14.06521449,46.21599341,20.38056671
12133,"Washington Co., Fla.",African American South,3,457A59,-16,102700,1986,1271,36052,77.61224407,14.99206169,45.23883375,23.00692561
13009,"Baldwin Co., Ga.",African American South,3,457A59,-1017,108800,1985,564,40358,52.37384759,15.0347537,52.37667266,23.50329359
13017,"Ben Hill Co., Ga.",African American South,3,457A59,-850,81200,1983,517,32370,56.03083078,15.37370586,49.79679656,25.7942694
13023,"Bleckley Co., Ga.",African American South,3,457A59,-225,98800,1982,443,44262,68.49571317,13.75689436,49.10514541,18.90539744
13027,"Brooks Co., Ga.",African American South,3,457A59,-802,92400,1986,771,36030,56.99621479,19.90330379,50.28074116,21.73653293
13031,"Bulloch Co., Ga.",African American South,3,457A59,7050,131200,1991,1585,42068,63.58586456,17.03257212,70.74745886,22.50565143
13033,"Burke Co., Ga.",African American South,3,457A59,-888,86500,1986,1078,41863,47.43806056,13.38989303,52.91682349,23.26492349
13037,"Calhoun Co., Ga.",African American South,3,457A59,-345,49000,1975,597,33889,32.84275755,18.83982232,33.78623188,28.22338252
13043,"Candler Co., Ga.",African American South,3,457A59,-159,88600,1989,498,33846,61.43373159,20.53093312,44.61310626,24.40155484
13049,"Charlton Co., Ga.",African American South,3,457A59,797,82200,1984,463,40636,62.0605584,14.49222985,33.35266821,18.96355612
13061,"Clay Co., Ga.",African American South,3,457A59,-298,59900,1983,329,29122,35.88791357,16.80365297,33.45132743,32.98371541
